	PolyPili	SclePere	PoaBulb	AlliSpec	EropVern	VerbChai	CladSpec	JasiMont	HypoRadi	AgroVine	CarlAcau	LychVisc	FestOvin	VeroVern	ArabThal	TrifDubi	CentScab	AspeCyna	FestRupi	PhlePhle	PulsGran	TrifAlpe	SeseOsse	ScabOchr	VeroDill	PoteAren	RumeAcet	AchiMill	CentStoe	KoelMacr	ThymPule	HypePerf	HierPilo	PimpSaxi	GaliVeru	PoteFili	TrifArve	PoaAngu	PlanLanc	KnauArve	CeraArve	PoteArge	EchiVulg	ViolArve	ViciTetr	PoteHept	CareCary	CeraPurp	ArrhElat	SileNuta	ViciHirs	PoteTabe	ElytRepe	ViciAngu	RosaSpec	SeduAcre	HeliAren	MyosStri	CampMora	VeroArve	ArteCamp	LuzuCamp	ViolTric	VeroPros	LotuCorn	BertInca	CalaEpig	SeduSexa	SecuVari	AgroCapi	GeniTinc	PrunSpin	VeroCham	ErynCamp	EuphEsul	AjugGene	ConvArve	SangMino	GaliApar	DianDelt	HeliGran	PetrProl	PoaComp	FilaArve	HedwCili	GaliPumi	LeonHisp	CeraGlut	SileOtit	KoelPyra	FragVesc	ViolCani	RhytRugo	AnthOdor	TrifMont	CentCyan	ArteAbsi	BracSpec	ArenSerp	FragViri	MediLupu	SeduRefl	HyloMaxi	RhinMino	FestPall	PlanMedi	CentJace	DantDecu	AlliVine	TrifCamp	CareMuri	PolyJuni	TortMura	BracAlbi	BryuSpec	AbieAbie	DicrPoly	DicrSpec	HypnCupr	BryuArge	PyruPyra	BetuPend	SorbAucu	QuerPetr	LamiAmpl	AstrGlyc	VeroSubl	CytiNigr	SaxiGran	BromTect	AlliOler	AperSpic	HierSaba	AnthArve	RubuFrut	ViciSpec	HierBrac	BromHord	ChonJunc	SileVulg	HoloUmbe	TaraSpec	EuphStri	TrifHybr	TaraSect	PulsPrat	AnthVuln	HierUmbe	TrifMedi	GaliX po	TaraSect	LinaVulg	JoviGlob	ArabGlab	LeonSpec	ViciLath	FestPseu	AnthTinc	CapsBurs	MediFalc	CeraSpec	BrizMedi	TrifRepe	FestRubr	GeraPusi	AcinArve	SileLati	CampPers	DactGlom	FallConv	VerbSpec
555760	2	1	0	0	0	0	38	0	3	8	0	2	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	2	3	4	0	3	3	0	2	0	0	0	3	2	3	0	0	0	0	0	2	0	2	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	3	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555761	0	0	0	0	0	0	4	0	0	38	2	2	63	0	0	0	0	0	0	0	0	2	0	0	0	0	4	2	2	0	8	3	3	3	0	4	0	3	0	2	0	0	0	0	2	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555769	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	8	3	4	3	0	2	0	2	4	0	0	38	2	2	3	18	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555770	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	18	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	2	0	18	0	0	63	3	2	2	4	0	0	0	0	0	0	3	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0
555771	0	2	0	0	0	0	18	3	3	18	4	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	3	4	0	0	18	3	3	4	0	0	3	0	4	0	2	0	0	0	0	0	0	0	3	8	0	4	0	0	0	0	0	0	3	0	0	0	0	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555772	0	1	0	0	0	8	4	0	0	18	2	3	18	0	0	0	0	0	0	0	0	2	0	0	1	0	3	4	2	0	2	2	0	2	8	0	0	3	2	2	0	1	0	0	2	0	8	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555773	0	2	0	0	0	0	18	0	0	18	2	2	18	0	0	0	0	0	0	0	0	3	0	0	1	0	2	2	0	3	2	2	2	0	4	4	0	18	0	2	0	0	0	0	0	3	8	0	0	2	1	0	2	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555774	8	3	0	0	0	0	38	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	3	0	3	4	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555775	0	2	0	0	0	0	8	2	1	4	2	8	18	0	0	0	0	2	0	0	0	3	2	0	0	0	2	3	2	4	8	3	0	2	0	4	1	0	2	4	2	0	0	0	0	3	4	0	0	0	0	0	0	0	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555776	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	3	0	0	0	0	0	0	3	2	0	2	4	3	0	3	4	3	0	18	0	2	0	0	0	0	1	0	8	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
555777	0	0	0	0	0	0	0	0	0	3	0	8	2	0	0	0	4	0	38	4	0	2	0	0	0	0	0	2	0	0	0	3	0	3	4	0	0	18	0	3	0	0	3	0	0	2	4	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
555778	4	2	0	0	0	0	18	4	0	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	4	0	0	2	4	3	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555779	0	4	0	0	0	4	18	0	0	3	0	8	18	0	0	0	0	2	0	0	0	0	2	0	0	0	3	0	3	3	0	2	0	0	2	3	3	0	4	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555780	0	3	0	0	0	2	0	0	0	3	0	3	38	0	0	0	0	4	0	0	0	2	0	0	0	0	8	2	3	3	2	3	0	0	4	4	2	4	4	0	0	3	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	4	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
